revenue_ttm_billion,price_gbp,earnings_ttm_billion,pe_ratio_ttm,marketcap_billion,dividend_yield_ttm,gdp_per_capita,gdp_growth_2024,inflation_rate,interest_rate,exchange_rate,unemployment_rate
0.166233,135.6517388,0.114151,-3.26225e-08,3.8972742759014,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.132266,32.992868,0.04523,8.3752399999999e-09,0.266232652087,2.30947e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.932387,133.2591844,0.169341,5.429110000000001e-08,4.3234210214912006,4.51093e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.999012575,21.0262862,0.509315,2.2777900000000002e-08,3.3082966051634,0.0,1e-05,0.025,0.051,0.11,0.05882,0.035
0.077557,19.9023952,0.144012,8.9452099999999e-09,1.2837457215794998,4.01991e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.783768,7.5129256,-0.10038,-1.29908e-09,0.04749363427696,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
-0.048,2.7278168,-0.663,-7.103170000000001e-10,0.1391955842815999,8.561569999999997e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,153.4701734,1.156,3.00883e-08,16.60981831119515,1.957529999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.65345,153.4701734,0.611107,9.683046749999992e-08,16.60981831119515,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.169389,20.7938884,0.069244,1.06654e-08,0.5056346078514999,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.464575,1.295332,-0.088279,-2.79146e-10,0.1484437549158,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.623161,153.4701734,0.264873,4.722249999999991e-08,7.482247651819399,7.28544e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.0,2.2020796392,-0.00735,-5.23874e-08,0.2223905610039,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
